Accession,Title,Collection,Organism,Imaging Method,Keywords,Files,License,Publication Title,Publication DOI,Authors,Release Date,BIA Link
S-BIAD3117,The is a test for imaging deposit,BioImage Archive,Homo sapiens (human),confocal microscopy,corpus calosum  ,2,CC BY 4.0,,,Battini,2026-03-20,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD3117
S-BIAD3071,Uncovering the electrical synapse proteome in retinal neurons via in vivo proximity labeling,BioImage Archive,Danio rerio,confocal microscopy,"Electrical synapse, TurboID, Cx36, Retina, AII amacrine cell",1045,CC BY 4.0,Uncovering the electrical synapse proteome in retinal neurons via in vivo proximity labeling,doi.org/10.7554/eLife.105935.3,Stephan Tetenborg,2026-03-20,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD3071
EMPIAR-13378,Clostridium butyricum Argonaute wild type apo protein complexed with de novo designed binder2,EMPIAR,,,,0,,Target-DNA binding-induced dimerization is required for catalytic activation of Clostridium butyricum Argonaute,,"Barendse P, van Drimmelen M, Pacesa M, Sivaraman A, Zhang DK, Nickel L, Niault T, Lindhoud S, Roosjen M, Hegge JW, Park K, Correia BE, van der Oost J, Joo C, Westphal AH, Swarts DC",2026-03-19,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13378
EMPIAR-13148,Convergent and clonotype-specific mutations in the light chain drive affinity maturation of a public antibody targeting a cryptic epitope on S2 of sarbecoviruses,EMPIAR,,,,0,,Clonotype-enriched somatic hypermutations drive affinity maturation of a public human antibody targeting an occluded sarbecovirus epitope,,"Sapse IA, Cohn H, Yoo DK, Tong P, Clark JJ, Bozarth B, Chen Y, Srivastava K, Singh G, Krammer F, Simon V, Wesemann DR, Bajic G, Coelho CH",2026-03-19,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13148
EMPIAR-12412,Reducing the effects of radiation damage in cryo-EM using liquid helium cooling,EMPIAR,,,,0,,Reducing the effects of radiation damage in cryo-EM using liquid helium cooling,,"Dickerson JL, Naydenova K, Peet MJ, Wilson H, Nandy B, McMullan G, Morrison R, Russo CJ",2026-03-19,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12412
EMPIAR-12151,Dissecting human monoclonal antibody responses from mRNA and protein-based booster vaccinations against XBB1.5 SARS-CoV-2,EMPIAR,,,,0,,Dissecting human monoclonal antibody responses from mRNA and protein-based booster vaccinations against XBB1.5 SARS-CoV-2,,Civljak AC,2026-03-19,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12151
S-BIAD3096,The one-week automated genome-wide optical pooled screen,BioImage Archive,Homo sapiens (human),fluorescence microscopy,OPS,150480,CC0,,,Matteo Di Bernardo,2026-03-19,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD3096
EMPIAR-13371,Clostridium butyricum Argonaute catalytic mutant in ternary form (bound to guide DNA and target DNA) and de novo designed Dimbd2,EMPIAR,,,,0,,Target-DNA binding-induced dimerization is required for catalytic activation of Clostridium butyricum Argonaute,,"Barendse P, van Drimmelen M, Pacesa M, Sivaraman A, Zhang DK, Nickel L, Niault T, Lindhoud S, Roosjen M, Hegge JW, Park K, Correia BE, van der Oost J, Joo C, Westphal AH, Swarts DC",2026-03-18,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13371
EMPIAR-12203,Cryo-EM of Nipah virus F in complex with a bnAb,EMPIAR,,,,0,,Cryo-EM of Nipah virus F in complex with a bnAb,,Bajic G,2026-03-18,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12203
S-BIAD2971,Somatic cells compartmentalise their metabolism to sustain germ cell survival,BioImage Archive,Drosophila melanogaster (fruit fly),confocal microscopy,"Glycolysis, Spermatogenesis",6,CC0,,,"Diego Sainz de la Maza, Marc Amoyel",2026-03-18,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2971
EMPIAR-13099,Focused Ion Beam - Scanning Electron Microscopy volume of the aboral pole of a Nematostella Vectensis polyp,EMPIAR,,,,0,,Mesoglea biogenesis reveals a cryptic aboral valve for pressure regulation in cnidarian morphogenesis,,"Basu S, Steenbergen P, Gabler F, Paix A, Ronchi P, Bourenkov G, Schneider T, Hellgoth J, Kreshuk A, Özbek S, Ikmi A",2026-03-17,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13099
EMPIAR-13260,FIB-SEM of 2-cell-stage like cells (2CLC) in mouse embryonic stem cells (mESC),EMPIAR,,,,0,,Alterations in chromatin organization promote totipotent-like features in a DPPA2/DUX-dependent manner,,"Narayan K, Ruiz S",2026-03-17,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13260
EMPIAR-13369,Clostridium butyricum Argonaute wild type protein in apo form,EMPIAR,,,,0,,Target-DNA binding-induced dimerization is required for catalytic activation of Clostridium butyricum Argonaute,,"Barendse P, van Drimmelen M, Pacesa M, Sivaraman A, Zhang DK, Nickel L, Niault T, Lindhoud S, Roosjen M, Hegge JW, Park K, Correia BE, van der Oost J, Joo C, Westphal AH, Swarts DC",2026-03-17,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13369
S-BIAD2997,Targeted Cellular Micropharmacies Deliver Therapeutic Agents to the Brain,BioImage Archive,Mus musculus (mouse),confocal microscopy,Brain,8,CC0,,,Subha Baniya,2026-03-17,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2997
EMPIAR-13243,"Cryo-electron tomography of in vitro assembled, GMPCPP-bound, porcine brain microtubules.",EMPIAR,,,,0,,Microtubules in the axon are GDP-bound but adopt a stable GTP-like expanded state.,,"Zehr EA, Sun S, Sarbanes SL, Roll-Mecak A",2026-03-16,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13243
EMPIAR-12558,Ice-free ESIBD structure of GroEL,EMPIAR,,,,0,,Cryo-EM Sample Preparation Using Soft-landing Electrospray Ion Beam Deposition and Laser Flash Melting,,"Barrass SV, Esser TK, Mowry NJ, Eriksson L, Hruby J, Seeley LT, Drabbels M, Baker LA, Rauschenbach S, Lorenz UJ",2026-03-16,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12558
EMPIAR-13357,Medium-resolution cryo-EM structure of the Danio rerio tRNA ligase complex,EMPIAR,,,,0,,Structural and biochemical characterization of the 3'-5' tRNA splicing ligases,,"Chamera S, Zajko W, Czarnocki-Cieciura M, Jaciuk M, Koziej Ł, Nowak J, Wycisk K, Sroka M, Chramiec-Głąbik A, Śmietański M, Gołębiowski F, Warmiński M, Jemielity J, Glatt S, Nowotny M",2026-03-16,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13357
