Study ID,Sub-entries,Type,Organism,Study Type,Imaging Method,Datasets / Plates,Dataset Count,License,Publication Title,Publication DOI,Data DOI,Authors,Release Date,OMERO Link
idr0001,idr0001-graml-sysgro/screenA,Screen,Schizosaccharomyces pombe,high content screen,spinning disk confocal microscopy,"JL_120731_S6A, JL_120731_S6B, JL_120801_S7A, JL_120801_S7B, JL_120802_S8A, JL_120802_S8B, JL_120803_S9A, JL_120803_S9B, JL_120804_S10A, JL_120804_S10B, JL_120806_S11A, JL_120806_S11B, JL_120807_S12A, JL_120807_S12B, JL_120808_S13A, JL_120808_S13B, JL_120809_S14A, JL_120809_S14B, JL_120810_S15A, JL_120810_S15B ... (+172 more)",192,CC BY 4.0,"A genomic Multiprocess survey of machineries that control and link cell shape, microtubule organization, and cell-cycle progression.",10.1016/j.devcel.2014.09.005 https://doi.org/10.1016/j.devcel.2014.09.005,,"Graml V, Studera X, Lawson JLD, Chessel A, Geymonat M, Bortfeld-Miller M, Walter T, Wagstaff L, Piddini E, Carazo Salas RE",2016-04-27,https://idr.openmicroscopy.org/webclient/?show=screen-3
idr0002,idr0002-heriche-condensation/screenA,Screen,Homo sapiens,high content screen,fluorescence microscopy,"plate1_1_013, plate1_2_006, plate1_3_003, plate1_7_015, plate2_2_007, plate2_3_018, plate2_5_015, plate2_7_028, plate3_11_007, plate3_4_034, plate3_5_002, plate3_8_010",12,CC BY 4.0,Integration of biological data by kernels on graph nodes allows prediction of new genes involved in mitotic chromosome condensation.,10.1091/mbc.E13-04-0221 https://doi.org/10.1091/mbc.E13-04-0221,,"Hériché JK, Lees JG, Morilla I, Walter T, Petrova B, Roberti MJ, Hossain MJ, Adler P, Fernández JM, Krallinger M, Haering CH, Vilo J, Valencia A, Ranea JA, Orengo C, Ellenberg J",2016-05-26,https://idr.openmicroscopy.org/webclient/?show=screen-102
idr0003,idr0003-breker-plasticity/screenA,Screen,Saccharomyces cerevisiae,high content screen,fluorescence microscopy,"DTT p1, DTT p10, DTT p11, DTT p12, DTT p13, DTT p14, DTT p15, DTT p16, DTT p17, DTT p2, DTT p3, DTT p4, DTT p5, DTT p6, DTT p7, DTT p8, DTT p9, H2O2 p1, H2O2 p10, H2O2 p11 ... (+65 more)",85,CC BY-NC-SA 3.0,A novel single-cell screening platform reveals proteome plasticity during yeast stress responses.,10.1083/jcb.201301120 https://doi.org/10.1083/jcb.201301120,,"Breker M, Gymrek M, Schuldiner M",2016-04-27,https://idr.openmicroscopy.org/webclient/?show=screen-51
idr0004,idr0004-thorpe-rad52/screenA,Screen,Saccharomyces cerevisiae,high content screen,fluorescence microscopy,"P101, P102, P105, P106, P107, P108, P109, P110, P111, P112, P115, P117, P118, P119, P120, P121, P123, P124, P125, P126 ... (+26 more)",46,CC BY-NC-SA 3.0,Genome-wide analysis of Rad52 foci reveals diverse mechanisms impacting recombination.,10.1371/journal.pgen.0030228 https://doi.org/10.1371/journal.pgen.0030228,,"Alvaro D, Lisby M, Rothstein R",2016-04-27,https://idr.openmicroscopy.org/webclient/?show=screen-202
idr0005,"idr0005-toret-adhesion/screenA, idr0005-toret-adhesion/screenB",Screen,Drosophila melanogaster,high content screen,fluorescence microscopy,"Primary_001, Primary_002, Primary_003, Primary_004, Primary_005, Primary_006, Primary_007, Primary_008, Primary_009, Primary_010, Primary_011, Primary_012, Primary_013, Primary_014, Primary_015, Primary_016, Primary_017, Primary_018, Primary_019, Primary_020 ... (+139 more)",159,CC BY-NC-SA 3.0,A genome-wide screen identifies conserved protein hubs required for cadherin-mediated cell-cell adhesion.,10.1083/jcb.201306082 https://doi.org/10.1083/jcb.201306082,,"Toret CP, D'Ambrosio MV, Vale RD, Simon MA, Nelson WJ",2016-04-27,https://idr.openmicroscopy.org/webclient/?show=screen-597
idr0006,idr0006-fong-nuclearbodies/screenA,Screen,Homo sapiens,high content screen,fluorescence microscopy,"11001, 11002, 11003, 11004, 11005, 11006, 11007, 11008, 11009, 11010, 11011, 11012, 11013, 11014, 11015, 11016, 11017, 11018, 11019, 11020 ... (+149 more)",169,CC BY-NC-SA 3.0,Whole-genome screening identifies proteins localized to distinct nuclear bodies.,10.1083/jcb.201303145 https://doi.org/10.1083/jcb.201303145,,"Fong KW, Li Y, Wang W, Ma W, Li K, Qi RZ, Liu D, Songyang Z, Chen J",2016-04-27,https://idr.openmicroscopy.org/webclient/?show=screen-253
idr0007,idr0007-srikumar-sumo/screenA,Screen,Saccharomyces cerevisiae,high content screen,confocal microscopy,"pro-smt3allR_plate1, pro-smt3allR_plate2, pro-smt3allR_plate3, pro-smt3allR_plate4, smt3allR_plate1, smt3allR_plate2, smt3allR_plate3, smt3allR_plate4, WT_plate1, WT_plate2, WT_plate3, WT_plate4",12,CC BY-NC-SA 3.0,Global analysis of SUMO chain function reveals multiple roles in chromatin regulation.,10.1083/jcb.201210019 https://doi.org/10.1083/jcb.201210019,,"Srikumar T, Lewicki MC, Costanzo M, Tkach JM, van Bakel H, Tsui K, Johnson ES, Brown GW, Andrews BJ, Boone C, Giaever G, Nislow C, Raught B",2016-04-27,https://idr.openmicroscopy.org/webclient/?show=screen-201
idr0008,"idr0008-rohn-actinome/screenA, idr0008-rohn-actinome/screenB",Screen,Drosophila melanogaster,high content screen,fluorescence microscopy,"001B30_S2R, 002B30_S2R, 003B30_S2R, 004B30_S2R, 005B30_S2R, 006B30_S2R, 007B30_S2R, 008B30_S2R, 009B30_S2R, 010B30_S2R, 011B30_S2R, 012B30_S2R, 013B30_S2R, 014B30_S2R, 015B30_S2R, 016B30_S2R, 017B30_S2R, 018B30_S2R, 019B30_S2R, 020B30_S2R ... (+49 more)",69,CC BY-NC-SA 3.0,Comparative RNAi screening identifies a conserved core metazoan actinome by phenotype.,10.1083/jcb.201103168 https://doi.org/10.1083/jcb.201103168,,"Rohn JL, Sims D, Liu T, Fedorova M, Schöck F, Dopie J, Vartiainen MK, Kiger AA, Perrimon N, Baum B",2016-04-27,https://idr.openmicroscopy.org/webclient/?show=screen-154
idr0009,"idr0009-simpson-secretion/screenA, idr0009-simpson-secretion/screenB",Screen,Homo sapiens,high content screen,fluorescence microscopy,"0001-03--2005-08-01, 0001-04--2005-09-08, 0001-05--2005-08-16, 0001-06--2005-09-05, 0001-18--2005-07-28, 0002-03--2005-08-01, 0002-05--2005-08-16, 0002-06--2005-09-05, 0002-12--2005-09-08, 0002-18--2005-07-28, 0003-03--2005-08-01, 0003-05--2005-08-16, 0003-12--2005-09-08, 0003-19--2005-07-28, 0003-43--2005-09-05, 0004-01--2005-09-12, 0004-03--2005-08-01, 0004-08--2005-11-21, 0004-18--2005-07-28, 0004-25--2005-09-15 ... (+550 more)",570,CC BY 4.0,Genome-wide RNAi screening identifies human proteins with a regulatory function in the early secretory pathway.,10.1038/ncb2510 https://doi.org/10.1038/ncb2510,,"Simpson JC, Joggerst B, Laketa V, Verissimo F, Cetin C, Erfle H, Bexiga MG, Singan VR, Hériché JK, Neumann B, Mateos A, Blake J, Bechtel S, Benes V, Wiemann S, Ellenberg J, Pepperkok R",2016-05-26,https://idr.openmicroscopy.org/webclient/?show=screen-251
idr0010,idr0010-doil-dnadamage/screenA,Screen,Homo sapiens,high content screen,fluorescence microscopy,"100-27, 101-24, 102, 103, 10-34, 104-13, 105-12, 106-13, 107, 108-24, 109-36, 110-35, 11-08, 111-07, 112-02, 113-34, 114-58, 115-11, 116-25, 117-12 ... (+128 more)",148,CC BY 4.0,RNF168 binds and amplifies ubiquitin conjugates on damaged chromosomes to allow accumulation of repair proteins.,10.1016/j.cell.2008.12.041 https://doi.org/10.1016/j.cell.2008.12.041,,"Doil C, Mailand N, Bekker-Jensen S, Menard P, Larsen DH, Pepperkok R, Ellenberg J, Panier S, Durocher D, Bartek J, Lukas J, Lukas C",2016-05-26,https://idr.openmicroscopy.org/webclient/?show=screen-1351
idr0011,"idr0011-ledesmafernandez-dad4/screenA, idr0011-ledesmafernandez-dad4/screenB, idr0011-ledesmafernandez-dad4/screenC, idr0011-ledesmafernandez-dad4/screenD, idr0011-ledesmafernandez-dad4/screenE",Screen,Saccharomyces cerevisiae,high content screen,fluorescence microscopy,"Plate10-Blue-A, Plate10-Blue-B, Plate10-Green-A, Plate10-Green-B, Plate10-Red-A, Plate10-Red-B, Plate10-Yellow-A, Plate10-Yellow-B, Plate11-Blue-A, Plate11-Blue-B, Plate11-Green-A, Plate11-Green-B, Plate11-Red-A, Plate11-Red-B, Plate11-Yellow-A, Plate11-Yellow-B, Plate12-Blue-A, Plate12-Blue-B, Plate12-Green-A, Plate12-Green-B ... (+162 more)",182,CC BY 4.0,Protein Kinase C and the stress response pathways are required for kinetochore homeostasis.,,,"Ledesma-Fernández E, Herrero E, Ólafsson G, Thorpe PH",2017-01-18,https://idr.openmicroscopy.org/webclient/?show=screen-1501
idr0012,idr0012-fuchs-cellmorph/screenA,Screen,Homo sapiens,high content screen,fluorescence microscopy,"HT01, HT02, HT03, HT04, HT05, HT06, HT07, HT08, HT09, HT10, HT11, HT12, HT13, HT14, HT15, HT16, HT17, HT18, HT19, HT20 ... (+48 more)",68,CC BY-NC-ND 4.0,Clustering phenotype populations by genome-wide RNAi and multiparametric imaging.,10.1038/msb.2010.25 https://doi.org/10.1038/msb.2010.25,,"Fuchs F, Pau G, Kranz D, Sklyar O, Budjan C, Steinbrink S, Horn T, Pedal A, Huber W, Boutros M",2016-12-16,https://idr.openmicroscopy.org/webclient/?show=screen-1202
idr0013,"idr0013-neumann-mitocheck/screenA, idr0013-neumann-mitocheck/screenB",Screen,Homo sapiens,high content screen,fluorescence microscopy,"LT0001_02, LT0001_09, LT0001_12, LT0002_02, LT0002_24, LT0002_51, LT0003_02, LT0003_15, LT0003_40, LT0004_06, LT0004_11, LT0004_47, LT0005_06, LT0005_44, LT0005_47, LT0006_10, LT0006_26, LT0006_44, LT0007_08, LT0007_10 ... (+508 more)",528,CC0 1.0,Phenotypic profiling of the human genome by time-lapse microscopy reveals cell division genes.,10.1038/nature08869 https://doi.org/10.1038/nature08869,,"Neumann B, Walter T, Hériché JK, Bulkescher J, Erfle H, Conrad C, Rogers P, Poser I, Held M, Liebel U, Cetin C, Sieckmann F, Pau G, Kabbe R, Wünsche A, Satagopam V, Schmitz MH, Chapuis C, Gerlich DW, Schneider R, Eils R, Huber W, Peters JM, Hyman AA, Durbin R, Pepperkok R, Ellenberg J",2016-04-27,https://idr.openmicroscopy.org/webclient/?show=screen-1101
idr0015,idr0015-colin-taraoceans/screenA,Screen,mixed sample,high content screen,confocal microscopy,"TARA_HCS1_H5_G100001472_G100001473--2013_09_28_19_45_25_chamber--U00--V01, TARA_HCS1_H5_G100001472_G100001473--2013_09_28_19_45_25_chamber--U01--V01, TARA_HCS1_H5_G100001988_G100001989--2013_09_23_19_42_50_chamber--U00--V01, TARA_HCS1_H5_G100001988_G100001989--2013_09_23_19_42_50_chamber--U01--V01, TARA_HCS1_H5_G100002411_G100002481--2013_08_28_14_46_59_chamber--U00--V01, TARA_HCS1_H5_G100002411_G100002481--2013_08_28_14_46_59_chamber--U01--V01, TARA_HCS1_H5_G100002479_G100002163--2013_08_26_14_59_40_chamber--U00--V01, TARA_HCS1_H5_G100002479_G100002163--2013_08_26_14_59_40_chamber--U01--V01, TARA_HCS1_H5_G100002567_G100002568--2013_09_25_12_55_58_chamber--U00--V01, TARA_HCS1_H5_G100002567_G100002568--2013_09_25_12_55_58_chamber--U01--V01, TARA_HCS1_H5_G100002655_G100002656--2013_09_24_15_21_06_chamber--U00--V01, TARA_HCS1_H5_G100002655_G100002656--2013_09_24_15_21_06_chamber--U01--V01, TARA_HCS1_H5_G100002978_G100002980--2013_08_29_12_36_46_chamber--U00--V01, TARA_HCS1_H5_G100002978_G100002980--2013_08_29_12_36_46_chamber--U01--V01, TARA_HCS1_H5_G100003406_G100004906--2013_08_24_19_23_14_chamber--U00--V01, TARA_HCS1_H5_G100003406_G100004906--2013_08_24_19_23_14_chamber--U01--V01, TARA_HCS1_H5_G100003584_G100003586--2013_09_26_15_23_10_chamber--U00--V01, TARA_HCS1_H5_G100003584_G100003586--2013_09_26_15_23_10_chamber--U01--V01, TARA_HCS1_H5_G100003584_G100003586--2014_06_26_15_58_43_chamber--U00--V01, TARA_HCS1_H5_G100003584_G100003586--2014_06_26_15_58_43_chamber--U01--V01 ... (+63 more)",83,CC BY 4.0,Quantitative 3D-imaging for cell biology and ecology of environmental microbial eukaryotes.,10.7554/eLife.26066 https://doi.org/10.7554/eLife.26066,10.17867/10000108 https://doi.org/10.17867/10000108,"Colin S, Coelho LP, Sunagawa S, Bowler C, Karsenti E, Bork P, Pepperkok R, de Vargas C",2016-04-27,https://idr.openmicroscopy.org/webclient/?show=screen-1201
idr0016,idr0016-wawer-bioactivecompoundprofiling/screenA,Screen,Homo sapiens,high content screen,fluorescence microscopy,"24277, 24278, 24279, 24280, 24293, 24294, 24295, 24296, 24297, 24300, 24301, 24302, 24303, 24304, 24305, 24306, 24307, 24308, 24309, 24310 ... (+393 more)",413,CC0 1.0,A dataset of images and morphological profiles of 30 000 small-molecule treatments using the Cell Painting assay.,10.1093/gigascience/giw014 https://doi.org/10.1093/gigascience/giw014,,"Bray MA, Gustafsdottir SM, Rohban MH, Singh S, Ljosa V, Sokolnicki KL, Bittker JA, Bodycombe NE, Dancík V, Hasaka TP, Hon CS, Kemp MM, Li K, Walpita D, Wawer MJ, Golub TR, Schreiber SL, Clemons PA, Shamji AF, Carpenter AE",2016-12-16,https://idr.openmicroscopy.org/webclient/?show=screen-1251
idr0017,idr0017-breinig-drugscreen/screenA,Screen,Homo sapiens,high content screen,fluorescence microscopy,"AKT1-/-_&_AKT2-/-_LOPAC_Plate_1_Replicate_1, AKT1-/-_&_AKT2-/-_LOPAC_Plate_1_Replicate_2, AKT1-/-_&_AKT2-/-_LOPAC_Plate_2_Replicate_1, AKT1-/-_&_AKT2-/-_LOPAC_Plate_2_Replicate_2, AKT1-/-_&_AKT2-/-_LOPAC_Plate_3_Replicate_1, AKT1-/-_&_AKT2-/-_LOPAC_Plate_3_Replicate_2, AKT1-/-_&_AKT2-/-_LOPAC_Plate_4_Replicate_1, AKT1-/-_&_AKT2-/-_LOPAC_Plate_4_Replicate_2, AKT1-/-_LOPAC_Plate_1_Replicate_1, AKT1-/-_LOPAC_Plate_1_Replicate_2, AKT1-/-_LOPAC_Plate_2_Replicate_1, AKT1-/-_LOPAC_Plate_2_Replicate_2, AKT1-/-_LOPAC_Plate_3_Replicate_1, AKT1-/-_LOPAC_Plate_3_Replicate_2, AKT1-/-_LOPAC_Plate_4_Replicate_1, AKT1-/-_LOPAC_Plate_4_Replicate_2, BAX-/-_LOPAC_Plate_1_Replicate_1, BAX-/-_LOPAC_Plate_1_Replicate_2, BAX-/-_LOPAC_Plate_2_Replicate_1, BAX-/-_LOPAC_Plate_2_Replicate_2 ... (+76 more)",96,CC BY-NC-ND 4.0,A chemical-genetic interaction map of small molecules using high-throughput imaging in cancer cells.,10.15252/msb.20156400 https://doi.org/10.15252/msb.20156400,10.17867/10000101 https://doi.org/10.17867/10000101,"Breinig M, Klein FA, Huber W, Boutros M",2016-04-27,https://idr.openmicroscopy.org/webclient/?show=screen-1151
idr0018,idr0018-neff-histopathology/experimentA,Project,Mus musculus,histology,bright-field microscopy,"Baz1a-14-100-brain, Baz1a-14-100-eye, Baz1a-14-100-gastrointestinal, Baz1a-14-100-heart, Baz1a-14-100-knee, Baz1a-14-100-liver, Baz1a-14-100-lymph-node, Baz1a-14-100-reproductive-female, Baz1a-14-100-salivary-gland, Baz1a-14-100-skin, Baz1a-14-75-brain, Baz1a-14-75-eye, Baz1a-14-75-gastrointestinal, Baz1a-14-75-heart, Baz1a-14-75-knee, Baz1a-14-75-liver, Baz1a-14-75-lymph-node, Baz1a-14-75-reproductive-male, Baz1a-14-75-salivary-gland, Baz1a-14-75-skin ... (+228 more)",248,CC BY 4.0,,,,,2016-05-26,https://idr.openmicroscopy.org/webclient/?show=project-101
